year,technologies_deployed,annual_capex,annual_abatement,cumulative_abatement
2025,"[{'technology': 'LED Lighting', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 1666.6666666666667}, {'technology': 'Waste Heat Recovery', 'deployment_fraction': 0.3333333333333333, 'capex': 33333.333333333336, 'abatement': 66.66666666666667}, {'technology': 'Heat Pumps', 'deployment_fraction': 0.3333333333333333, 'capex': 533333.3333333334, 'abatement': 400.0}, {'technology': 'Carbon Capture', 'deployment_fraction': 0.3333333333333333, 'capex': 333333.3333333333, 'abatement': 666.6666666666666}]",1400000.0,2800.0,2800.0
2026,"[{'technology': 'LED Lighting', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 1666.6666666666667}, {'technology': 'HVAC Efficiency', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 666.6666666666666}, {'technology': 'Waste Heat Recovery', 'deployment_fraction': 0.3333333333333333, 'capex': 33333.333333333336, 'abatement': 66.66666666666667}, {'technology': 'Solar PV', 'deployment_fraction': 0.3333333333333333, 'capex': 16009246.575342467, 'abatement': 11526.657534246575}, {'technology': 'Heat Pumps', 'deployment_fraction': 0.3333333333333333, 'capex': 533333.3333333334, 'abatement': 400.0}, {'technology': 'Nature-Based Solutions', 'deployment_fraction': 0.3333333333333333, 'capex': 1276646.683538079, 'abatement': 25532.933670761584}, {'technology': 'Carbon Capture', 'deployment_fraction': 0.3333333333333333, 'capex': 333333.3333333333, 'abatement': 666.6666666666666}, {'technology': 'Green Hydrogen', 'deployment_fraction': 0.3333333333333333, 'capex': 45000000.0, 'abatement': 100000.0}]",64185893.25888054,140526.25787167484,143326.25787167484
2027,"[{'technology': 'LED Lighting', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 1666.6666666666667}, {'technology': 'HVAC Efficiency', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 666.6666666666666}, {'technology': 'Building Insulation', 'deployment_fraction': 0.3333333333333333, 'capex': 495002.38385511114, 'abatement': 495.0023838551112}, {'technology': 'Waste Heat Recovery', 'deployment_fraction': 0.3333333333333333, 'capex': 33333.333333333336, 'abatement': 66.66666666666667}, {'technology': 'Solar PV', 'deployment_fraction': 0.3333333333333333, 'capex': 16009246.575342467, 'abatement': 11526.657534246575}, {'technology': 'Efficient Motors', 'deployment_fraction': 0.3333333333333333, 'capex': 66666.66666666667, 'abatement': 40.0}, {'technology': 'Heat Pumps', 'deployment_fraction': 0.3333333333333333, 'capex': 533333.3333333334, 'abatement': 400.0}, {'technology': 'Nature-Based Solutions', 'deployment_fraction': 0.3333333333333333, 'capex': 1276646.683538079, 'abatement': 25532.933670761584}, {'technology': 'Industrial Electrification', 'deployment_fraction': 0.3333333333333333, 'capex': 10000000.0, 'abatement': 83333.33333333333}, {'technology': 'Carbon Capture', 'deployment_fraction': 0.3333333333333333, 'capex': 333333.3333333333, 'abatement': 666.6666666666666}, {'technology': 'Green Hydrogen', 'deployment_fraction': 0.3333333333333333, 'capex': 45000000.0, 'abatement': 100000.0}, {'technology': 'Enhanced CCUS', 'deployment_fraction': np.float64(0.29156234246805873), 'capex': np.float64(46649974.79488939), 'abatement': np.float64(116624.9369872235)}]",121397537.1042917,341019.5305760868,484345.7884477616
2028,"[{'technology': 'HVAC Efficiency', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 666.6666666666666}, {'technology': 'Building Insulation', 'deployment_fraction': 0.3333333333333333, 'capex': 495002.38385511114, 'abatement': 495.0023838551112}, {'technology': 'Solar PV', 'deployment_fraction': 0.3333333333333333, 'capex': 16009246.575342467, 'abatement': 11526.657534246575}, {'technology': 'Efficient Motors', 'deployment_fraction': 0.3333333333333333, 'capex': 66666.66666666667, 'abatement': 40.0}, {'technology': 'Nature-Based Solutions', 'deployment_fraction': 0.3333333333333333, 'capex': 1276646.683538079, 'abatement': 25532.933670761584}, {'technology': 'Industrial Electrification', 'deployment_fraction': 0.3333333333333333, 'capex': 10000000.0, 'abatement': 83333.33333333333}, {'technology': 'Green Hydrogen', 'deployment_fraction': 0.3333333333333333, 'capex': 45000000.0, 'abatement': 100000.0}, {'technology': 'Enhanced CCUS', 'deployment_fraction': np.float64(0.29156234246805873), 'capex': np.float64(46649974.79488939), 'abatement': np.float64(116624.9369872235)}]",119997537.1042917,338219.5305760868,822565.3190238484
2029,"[{'technology': 'Building Insulation', 'deployment_fraction': 0.3333333333333333, 'capex': 495002.38385511114, 'abatement': 495.0023838551112}, {'technology': 'Efficient Motors', 'deployment_fraction': 0.3333333333333333, 'capex': 66666.66666666667, 'abatement': 40.0}, {'technology': 'Industrial Electrification', 'deployment_fraction': 0.3333333333333333, 'capex': 10000000.0, 'abatement': 83333.33333333333}, {'technology': 'Enhanced CCUS', 'deployment_fraction': np.float64(0.29156234246805873), 'capex': np.float64(46649974.79488939), 'abatement': np.float64(116624.9369872235)}]",57211643.84541117,200493.27270441194,1023058.5917282603
2030,[],0.0,0.0,1023058.5917282603
2031,[],0.0,0.0,1023058.5917282603
2032,[],0.0,0.0,1023058.5917282603
2033,[],0.0,0.0,1023058.5917282603
2034,[],0.0,0.0,1023058.5917282603
2035,[],0.0,0.0,1023058.5917282603
2036,[],0.0,0.0,1023058.5917282603
2037,[],0.0,0.0,1023058.5917282603
2038,[],0.0,0.0,1023058.5917282603
2039,[],0.0,0.0,1023058.5917282603
2040,[],0.0,0.0,1023058.5917282603
2041,[],0.0,0.0,1023058.5917282603
2042,[],0.0,0.0,1023058.5917282603
2043,[],0.0,0.0,1023058.5917282603
2044,[],0.0,0.0,1023058.5917282603
2045,[],0.0,0.0,1023058.5917282603
2046,[],0.0,0.0,1023058.5917282603
2047,[],0.0,0.0,1023058.5917282603
2048,[],0.0,0.0,1023058.5917282603
2049,[],0.0,0.0,1023058.5917282603
2050,[],0.0,0.0,1023058.5917282603
